question_id, tag, link, tags, accepted_answer
11227809,c++, https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array, java;c++;performance;optimization;branch-prediction,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array/11227902#11227902
8547778,c++, https://stackoverflow.com/questions/8547778/why-are-elementwise-additions-much-faster-in-separate-loops-than-in-a-combined-l, c++;c;performance;compiler-optimization;vectorization,https://stackoverflow.com/questions/8547778/why-are-elementwise-additions-much-faster-in-separate-loops-than-in-a-combined-l/8547993#8547993
4172722,c++, https://stackoverflow.com/questions/4172722/what-is-the-rule-of-three, c++;copy-constructor;assignment-operator;c++-faq;rule-of-three,https://stackoverflow.com/questions/4172722/what-is-the-rule-of-three/4172724#4172724
3279543,c++, https://stackoverflow.com/questions/3279543/what-is-the-copy-and-swap-idiom, c++;copy-constructor;assignment-operator;c++-faq;copy-and-swap,https://stackoverflow.com/questions/3279543/what-is-the-copy-and-swap-idiom/3279550#3279550
6319146,c++, https://stackoverflow.com/questions/6319146/c11-introduced-a-standardized-memory-model-what-does-it-mean-and-how-is-it-g, c++;multithreading;c++11;language-lawyer;memory-model,https://stackoverflow.com/questions/6319146/c11-introduced-a-standardized-memory-model-what-does-it-mean-and-how-is-it-g/6319356#6319356
9371238,c++, https://stackoverflow.com/questions/9371238/why-is-reading-lines-from-stdin-much-slower-in-c-than-python, python;c++;benchmarking;iostream;getline,https://stackoverflow.com/questions/9371238/why-is-reading-lines-from-stdin-much-slower-in-c-than-python/9371717#9371717
3106110,c++, https://stackoverflow.com/questions/3106110/what-is-move-semantics, c++;c++-faq;c++11;move-semantics,https://stackoverflow.com/questions/3106110/what-is-move-semantics/3109981#3109981
10168686,c++, https://stackoverflow.com/questions/10168686/image-processing-algorithm-improvement-for-coca-cola-can-recognition, c++;algorithm;image-processing;opencv,https://stackoverflow.com/questions/10168686/image-processing-algorithm-improvement-for-coca-cola-can-recognition/10169025#10169025
6163683,c++, https://stackoverflow.com/questions/6163683/cycles-in-family-tree-software, c++;graph;cycle;assertions;family-tree,https://stackoverflow.com/questions/6163683/cycles-in-family-tree-software/6198257#6198257
22146094,c++, https://stackoverflow.com/questions/22146094/why-should-i-use-a-pointer-rather-than-the-object-itself, c++;pointers;c++11,https://stackoverflow.com/questions/22146094/why-should-i-use-a-pointer-rather-than-the-object-itself/22146244#22146244
12135518,c++, https://stackoverflow.com/questions/12135518/is-faster-than, c++;performance;assembly;relational-operators,https://stackoverflow.com/questions/12135518/is-faster-than/12135533#12135533
5590381,c++, https://stackoverflow.com/questions/5590381/easiest-way-to-convert-int-to-string-in-c, c++;string;int;type-conversion,https://stackoverflow.com/questions/5590381/easiest-way-to-convert-int-to-string-in-c/5591169#5591169
9314534,c++, https://stackoverflow.com/questions/9314534/why-does-changing-0-1f-to-0-slow-down-performance-by-10x, c++;performance;visual-studio-2010;compilation;floating-point,https://stackoverflow.com/questions/9314534/why-does-changing-0-1f-to-0-slow-down-performance-by-10x/9314926#9314926
12573816,c++, https://stackoverflow.com/questions/12573816/what-is-an-undefined-reference-unresolved-external-symbol-error-and-how-do-i-fix, c++;linker-errors;undefined-reference;c++-faq;unresolved-external,https://stackoverflow.com/questions/12573816/what-is-an-undefined-reference-unresolved-external-symbol-error-and-how-do-i-fix/12573818#12573818
7627098,c++, https://stackoverflow.com/questions/7627098/what-is-a-lambda-expression-in-c11, c++;lambda;c++11;c++-faq,https://stackoverflow.com/questions/7627098/what-is-a-lambda-expression-in-c11/7627218#7627218
25078285,c++, https://stackoverflow.com/questions/25078285/replacing-a-32-bit-loop-counter-with-64-bit-introduces-crazy-performance-deviati, c++;performance;assembly;x86;compiler-optimization,https://stackoverflow.com/questions/25078285/replacing-a-32-bit-loop-counter-with-64-bit-introduces-crazy-performance-deviati/25089720#25089720
2391679,c++, https://stackoverflow.com/questions/2391679/why-do-we-need-virtual-functions-in-c, c++;virtual-functions,https://stackoverflow.com/questions/2391679/why-do-we-need-virtual-functions-in-c/2392656#2392656
