question_id, tag, link, tags, accepted_answer
6163683,graph, https://stackoverflow.com/questions/6163683/cycles-in-family-tree-software, c++;graph;cycle;assertions;family-tree,https://stackoverflow.com/questions/6163683/cycles-in-family-tree-software/6198257#6198257
1828874,graph, https://stackoverflow.com/questions/1828874/generating-statistics-from-git-repository, git;graph;statistics,https://stackoverflow.com/questions/1828874/generating-statistics-from-git-repository/1829302#1829302
2801882,graph, https://stackoverflow.com/questions/2801882/generating-a-png-with-matplotlib-when-display-is-undefined, python;matplotlib;graph,https://stackoverflow.com/questions/2801882/generating-a-png-with-matplotlib-when-display-is-undefined/3054314#3054314
3777174,graph, https://stackoverflow.com/questions/3777174/plotting-two-variables-as-lines-using-ggplot2-on-the-same-graph, r;ggplot2;graph;time-series;r-faq,https://stackoverflow.com/questions/3777174/plotting-two-variables-as-lines-using-ggplot2-on-the-same-graph/3780353#3780353
3373256,graph, https://stackoverflow.com/questions/3373256/set-colorbar-range-in-matplotlib, python;graph;matplotlib,https://stackoverflow.com/questions/3373256/set-colorbar-range-in-matplotlib/3376734#3376734
9732084,graph, https://stackoverflow.com/questions/9732084/how-do-you-represent-a-graph-in-haskell, haskell;types;graph;functional-programming;algebraic-data-types,https://stackoverflow.com/questions/9732084/how-do-you-represent-a-graph-in-haskell/9732413#9732413
9741300,graph, https://stackoverflow.com/questions/9741300/charts-for-android, android;graph;charts,https://stackoverflow.com/questions/9741300/charts-for-android/10716564#10716564
5142842,graph, https://stackoverflow.com/questions/5142842/export-a-graph-to-eps-file-with-r, r;graph;eps,https://stackoverflow.com/questions/5142842/export-a-graph-to-eps-file-with-r/8147482#8147482
3818079,graph, https://stackoverflow.com/questions/3818079/why-use-dijkstras-algorithm-if-breadth-first-search-bfs-can-do-the-same-thing, algorithm;graph;dijkstra;breadth-first-search,https://stackoverflow.com/questions/3818079/why-use-dijkstras-algorithm-if-breadth-first-search-bfs-can-do-the-same-thing/3818091#3818091
8922060,graph, https://stackoverflow.com/questions/8922060/how-to-trace-the-path-in-a-breadth-first-search, python;algorithm;graph;breadth-first-search,https://stackoverflow.com/questions/8922060/how-to-trace-the-path-in-a-breadth-first-search/8922151#8922151
19472530,graph, https://stackoverflow.com/questions/19472530/representing-graphs-data-structure-in-python, python;data-structures;graph,https://stackoverflow.com/questions/19472530/representing-graphs-data-structure-in-python/30747003#30747003
20133479,graph, https://stackoverflow.com/questions/20133479/how-to-draw-directed-graphs-using-networkx-in-python, python;graph;plot;networkx,https://stackoverflow.com/questions/20133479/how-to-draw-directed-graphs-using-networkx-in-python/20133763#20133763
3287003,graph, https://stackoverflow.com/questions/3287003/three-ways-to-store-a-graph-in-memory-advantages-and-disadvantages, graph,https://stackoverflow.com/questions/3287003/three-ways-to-store-a-graph-in-memory-advantages-and-disadvantages/3287269#3287269
10286473,graph, https://stackoverflow.com/questions/10286473/rotating-x-axis-labels-in-r-for-barplot, r;graph;plot;bar-chart;axis-labels,https://stackoverflow.com/questions/10286473/rotating-x-axis-labels-in-r-for-barplot/10286695#10286695
22276066,graph, https://stackoverflow.com/questions/22276066/how-to-plot-multiple-functions-on-the-same-figure-in-matplotlib, python;function;matplotlib;graph,https://stackoverflow.com/questions/22276066/how-to-plot-multiple-functions-on-the-same-figure-in-matplotlib/22276109#22276109
14563989,graph, https://stackoverflow.com/questions/14563989/force-r-to-stop-plotting-abbreviated-axis-labels-e-g-1e00-in-ggplot2, r;graph;ggplot2;axes,https://stackoverflow.com/questions/14563989/force-r-to-stop-plotting-abbreviated-axis-labels-e-g-1e00-in-ggplot2/14564102#14564102
